Category,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
Strudel,39.92,24.166666666666668,1.6666666666666667,4.6066666666666665,2.885666666666667,2.792666666666667,2.4121666666666663,8.695,1.18,16.0,69.66666666666667,137.33333333333334,145.33333333333334,0.4233333333333333,68.0,0.1583333333333333,0.0626666666666666,2.6333333333333333,0.8783333333333334,7.25,10
Stuffed cabbage,9.505,18.0,2.1,6.37,5.1745,1.241,2.448,9.575,1.13,19.0,77.5,278.0,392.0,1.09,31.5,0.29,0.1865,21.85,1.205,45.1,1
Stuffed cabbage rolls with beef and rice,8.63,38.0,1.3,8.41,2.169,0.255,1.874,5.0,1.24,16.0,82.0,242.0,343.0,1.89,18.0,0.75,0.186,12.4,0.52,26.1,1
Stuffed chicken,6.53,166.0,0.3,28.07,3.839,1.542,3.43,10.43,1.37,26.0,288.0,296.0,886.0,2.0,56.0,0.66,0.263,2.1,0.68,2.4,13
Stuffed christophine,4.44,100.0,1.5,12.62,7.997,1.908,4.89,16.11,1.21,22.0,152.0,307.0,334.0,2.23,30.0,0.44,0.232,9.3,0.9,7.1,1
Stuffed grape leaves with beef and rice,11.32,23.0,3.1,7.83,10.901,1.989,3.991,18.37,1.87,36.0,92.0,219.0,322.0,1.73,337.0,0.52,0.19,9.8,2.28,70.2,9
Stuffed grape leaves with lamb and rice,11.91,25.0,3.3,8.17,12.27,2.633,5.359,21.52,1.83,38.0,89.0,191.0,71.0,1.58,359.0,0.6,0.17,8.1,2.47,76.7,2
Stuffed green pepper,15.56,23.0,2.1,8.63,2.942,0.559,2.608,7.23,1.91,23.0,98.0,315.0,634.0,1.75,17.0,0.58,0.213,37.4,0.76,6.5,13
Stuffed jalapeno pepper,16.35,129.0,2.5,8.98,5.375,2.843,6.312,15.65,1.97,23.0,141.0,233.0,443.0,0.98,125.0,0.39,0.28,50.7,2.8,19.8,7
Stuffed pepper,8.636666666666665,29.0,1.1,7.006666666666667,4.7796666666666665,3.2116666666666664,3.7783333333333338,12.953333333333331,0.84,14.0,94.66666666666669,168.0,268.3333333333333,1.37,44.66666666666666,0.4133333333333333,0.1829999999999999,34.666666666666664,1.2033333333333334,13.966666666666669,1
Stuffed pork roast,1.92,59.0,0.5,18.75,4.012,1.479,2.25,8.11,0.88,20.0,184.0,326.0,390.0,2.34,6.0,0.52,0.296,6.1,0.72,1.9,1
Stuffed pot roast,4.484999999999999,79.5,0.7,21.52,9.9705,2.177,7.061,21.2,2.035,25.0,191.0,378.5,829.5,3.915,3.5,1.685,0.2995,6.2,0.875,5.75,13
Stuffed shells,18.25333333333333,65.83333333333333,0.9833333333333334,8.995,1.4640000000000002,0.5466666666666666,2.5863333333333336,5.3,1.6616666666666668,20.666666666666668,135.5,209.33333333333331,366.6666666666667,0.9333333333333332,75.66666666666667,0.445,0.1043333333333333,2.6666666666666665,0.7266666666666666,18.76666666666667,7
Stuffed tannier fritters,19.67,38.0,2.4,11.62,12.555,8.673,6.221,29.17,1.25,36.0,149.0,557.0,1241.0,1.79,17.0,0.51,0.331,7.6,3.47,32.6,13
Stuffed tomato,11.45,6.0,1.1,3.175,1.3855,0.932,0.754,3.35,0.72,13.5,43.5,198.5,154.5,0.685,25.5,0.175,0.118,11.95,0.605,7.949999999999999,10
Sturgeon,2.01,77.4,0.12,21.546,3.6962,2.1474,1.5778,8.136,0.994,42.0,251.4,332.8,451.4,0.558,224.0,2.38,0.2193999999999999,0.2,0.962,4.16,7
Sugar,99.066,0.0,0.74,0.08,0.0034,0.001,0.0048,0.204,0.3,2.6,1.6,34.2,6.8,0.04,0.2,0.0,0.0104,0.06,0.032,0.44,6
Sugar cane beverage,20.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,3.0,11.0,43.0,0.02,0.0,0.0,0.002,0.0,0.0,0.0,4
Sugar substitute,65.05888888888889,0.0,0.1555555555555555,0.5988888888888889,0.0,0.0,0.0,0.0,0.0111111111111111,0.1111111111111111,0.0,1.8888888888888888,112.33333333333331,0.0022222222222222,0.0,0.0,0.0,0.0,0.0,0.0,4
Sugar substitute and sugar blend,99.35,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.05,0.0,0.0,2.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,6
