Category,Data.Carbohydrate,Data.Cholesterol,Data.Fiber,Data.Protein,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K,cluster
Cereal (General Mills 25% Less Sugar Cinnamon Toast Crunch),78.19,0.0,11.2,5.09,6.5,2.09,1.0,9.89,12.89,57.0,357.0,167.0,565.0,10.69,426.0,4.3,1.42,17.1,1.74,7.8,9
Cereal (General Mills Cheerios Apple Cinnamon),79.9,0.0,7.3,8.3,2.79,1.89,1.1,6.09,15.0,80.0,267.0,248.0,390.0,12.5,498.0,5.0,1.66,20.0,0.68,3.1,9
Cereal (General Mills Cheerios Banana Nut),84.69,0.0,6.1,5.5,1.2,1.89,0.69,4.0,16.1,57.0,214.0,255.0,533.0,13.39,506.0,5.4,1.78,53.6,0.53,1.2,9
Cereal (General Mills Cheerios Berry Burst),80.5,0.0,7.6,8.8,1.6,1.6,1.0,4.5,16.7,89.0,222.0,230.0,639.0,13.9,549.0,5.6,1.852,22.2,0.44,4.1,9
Cereal (General Mills Cheerios Chocolate),83.5,0.0,6.2,5.8,1.6,2.2,1.0,5.09,16.7,59.0,222.0,282.0,556.0,13.89,533.0,5.59,1.85,55.6,0.59,1.8,9
Cereal (General Mills Cheerios Frosted),79.8,0.0,7.5,9.0,1.7,1.79,1.1,4.69,16.7,89.0,296.0,254.0,553.0,13.89,554.0,5.59,1.85,22.2,0.33,1.5,9
Cereal (General Mills Cheerios Fruity),84.19,0.0,5.9,5.8,1.79,1.89,0.69,4.59,16.7,30.0,222.0,214.0,501.0,13.89,534.0,5.59,1.85,55.6,0.79,0.9,9
Cereal (General Mills Cheerios Honey Nut),79.69,0.0,7.1,8.85,1.104,1.024,0.529,5.0,20.58,90.0,328.0,412.0,566.0,17.17,834.0,7.5,2.267,21.4,0.48,2.3,9
Cereal (General Mills Cheerios Multigrain),81.4,0.0,8.7,8.3,1.2,1.7,0.89,4.09,27.89,55.0,276.0,483.0,401.0,12.89,502.0,5.19,1.72,20.7,0.62,1.8,14
Cereal (General Mills Cheerios Oat Cluster Crunch),80.7,0.0,7.0,8.5,1.6,1.8,1.0,4.6,16.7,59.0,222.0,285.0,489.0,13.9,554.0,5.6,1.852,22.2,0.31,1.4,9
Cereal (General Mills Cheerios Protein),76.13,0.0,7.3,12.39,1.436,1.559,0.929,5.07,20.64,86.0,363.0,484.0,477.0,12.69,730.0,5.71,1.634,17.1,0.36,1.7,9
Cereal (General Mills Cheerios),73.2,0.0,10.1,12.4,2.3,2.4,1.6,6.6,28.9,114.0,357.0,633.0,497.0,13.4,990.0,6.77,1.79,21.4,0.41,2.0,2
Cereal (General Mills Chex Chocolate),81.09,0.0,2.0,4.8,5.0,1.6,1.6,8.39,25.7,29.0,143.0,186.0,629.0,10.69,429.0,4.3,1.42,17.1,1.69,4.9,9
Cereal (General Mills Chex Cinnamon),82.4,0.0,2.4,5.0,4.3,1.2,0.6,6.59,27.0,27.0,67.0,126.0,605.0,12.5,749.0,5.0,1.66,20.0,1.51,5.3,9
Cereal (General Mills Chex Corn),85.0,0.0,4.7,6.4,0.6,1.29,0.4,2.4,26.1,26.0,129.0,197.0,719.0,12.1,440.0,4.8,1.61,19.4,0.25,0.1,9
Cereal (General Mills Chex Honey Nut),86.67,0.0,3.9,6.3,0.5,1.0,0.5,2.0,14.1,25.0,63.0,219.0,600.0,11.69,432.0,4.69,1.56,18.8,0.21,0.1,9
Cereal (General Mills Chex Rice),85.09,0.0,2.0,6.4,0.6,0.69,0.5,1.89,33.29,30.0,148.0,188.0,809.0,13.89,556.0,5.59,1.85,22.2,0.35,1.0,9
Cereal (General Mills Chex Wheat),82.2,0.0,12.2,9.8,0.3,1.0,0.4,1.8,30.6,85.0,319.0,369.0,570.0,11.2,317.0,3.2,1.064,12.8,0.68,1.8,7
Cereal (General Mills Cinnamon Toast Crunch),77.99,0.0,6.8,5.45,4.92,2.11,0.975,10.25,20.48,54.0,199.0,201.0,567.0,18.12,918.0,6.65,2.7,19.4,2.14,9.4,9
Cereal (General Mills Cocoa Puffs),83.7,0.0,5.7,5.6,1.7,2.1,1.0,5.2,16.7,59.0,222.0,272.0,564.0,13.9,527.0,5.6,1.852,22.2,0.7,2.1,9
Cereal (General Mills Cookie Crisp),84.5,0.0,5.1,5.2,1.4,1.7,0.8,4.4,17.3,31.0,154.0,231.0,457.0,14.4,546.0,5.8,1.923,23.1,0.57,1.5,9
Cereal (General Mills Count Chocula),84.5,0.0,5.0,5.4,2.29,1.6,0.6,4.69,16.7,30.0,222.0,228.0,488.0,13.89,526.0,5.59,1.85,22.2,0.62,1.7,9
Cereal (General Mills Fiber One Honey Clusters),83.9,0.0,19.0,7.69,0.2,0.69,0.4,2.59,31.2,77.0,192.0,372.0,394.0,14.39,0.0,2.9,1.92,11.5,0.62,1.2,10
Cereal (General Mills Fiber One Raisin Bran Clusters),83.4,0.0,17.9,6.3,0.2,0.6,0.4,2.29,8.19,58.0,182.0,423.0,337.0,6.8,0.0,2.7,0.9,10.9,0.58,1.9,10
Cereal (General Mills Fiber One),84.3,0.0,46.2,6.59,0.5,1.29,0.4,2.29,15.0,53.0,200.0,374.0,356.0,12.5,1.0,5.0,1.66,20.0,0.3,0.6,10
Cereal (General Mills Frankenberry),85.4,0.0,4.2,5.5,2.09,1.39,0.5,4.3,13.6,24.0,182.0,163.0,458.0,11.39,420.0,4.5,1.51,18.2,0.77,1.2,9
Cereal (General Mills Golden Grahams),85.1,0.0,5.6,5.3,1.6,1.0,0.4,3.2,14.5,26.0,129.0,206.0,772.0,12.1,472.0,4.8,1.613,19.4,0.64,2.0,9
Cereal (General Mills Honey Kix),83.0,0.0,8.3,6.4,1.002,1.5,0.535,3.9,38.2,49.0,182.0,212.0,582.0,18.2,868.0,6.4,2.72,27.3,0.0,0.2,9
Cereal (General Mills Honey Nut Clusters),85.2,0.0,6.3,7.7,0.2,0.4,0.5,2.0,7.9,42.0,140.0,184.0,515.0,6.6,0.0,2.6,0.877,10.5,0.39,1.1,13
Cereal (General Mills Kix),82.82,0.0,8.8,7.69,0.99,1.277,0.576,3.46,32.0,51.0,189.0,223.0,596.0,17.42,879.0,5.7,2.3,25.4,0.3,0.2,9
Cereal (General Mills Lucky Charms Chocolate),84.4,0.0,5.3,5.59,2.1,1.6,0.6,4.4,16.1,57.0,214.0,249.0,539.0,13.39,505.0,5.4,1.78,21.4,0.57,1.5,9
Cereal (General Mills Lucky Charms),80.89,0.0,5.0,7.67,1.586,1.542,0.885,5.02,22.27,74.0,289.0,222.0,648.0,18.62,847.0,6.8,3.01,26.6,0.45,1.4,9
Cereal (General Mills Oatmeal Crisp with Almonds),78.09,0.0,8.2,9.89,3.1,2.2,1.1,6.69,15.0,67.0,167.0,336.0,212.0,1.5,0.0,0.0,0.66,0.0,1.46,1.6,10
Cereal (General Mills Raisin Nut Bran),80.0,0.0,12.2,8.19,2.0,2.0,1.0,5.3,9.19,65.0,204.0,357.0,440.0,7.69,0.0,3.09,1.02,0.3,1.91,2.8,1
Cereal (General Mills Reese's Puffs),75.6,0.0,4.7,6.8,4.7,3.7,2.1,11.1,15.5,55.0,207.0,244.0,555.0,12.9,495.0,5.2,1.724,20.7,23.64,1.8,9
Cereal (General Mills Trix),86.19,0.0,3.9,4.9,1.79,1.39,0.5,3.79,16.89,25.0,188.0,162.0,500.0,14.1,669.0,4.69,2.18,18.8,0.5,1.3,9
Cereal (General Mills Wheaties),83.3,0.0,10.1,8.3,0.4,1.2,0.5,2.3,33.3,89.0,296.0,328.0,732.0,27.8,554.0,11.1,3.704,22.2,0.64,1.7,9
Cereal (Kashi 7 Whole Grain Puffs),78.6,0.0,8.0,13.0,0.58,1.053,0.463,2.3,3.0,153.0,240.0,277.0,9.0,3.11,0.0,0.0,0.373,0.0,1.06,2.6,3
Cereal (Kashi Autumn Wheat),79.0,0.0,11.2,12.0,0.2,0.9,0.3,1.4,3.1,81.0,225.0,342.0,4.0,1.5,0.0,0.0,0.285,0.0,0.96,1.8,3
Cereal (Kashi GOLEAN Crunch Honey Almond Flax),66.9,0.0,15.0,16.79,4.4,3.7,1.0,9.9,2.8,105.0,270.0,620.0,268.0,0.6,1.0,0.0,0.03,1.0,2.68,1.7,10
Cereal (Kashi GOLEAN Crunch),71.4,0.0,14.5,16.7,2.4,2.09,0.8,5.9,2.79,82.0,251.0,613.0,186.0,0.4,1.0,0.0,0.02,1.0,1.33,3.7,5
Cereal (Kashi GOLEAN),67.19,0.0,20.1,24.89,0.3,0.69,0.4,2.2,6.09,101.0,301.0,845.0,177.0,1.7,5.0,0.0,0.14,0.0,0.38,1.6,5
Cereal (Kashi Heart to Heart Honey Toasted Oat),78.69,0.0,13.7,11.39,1.79,1.79,1.0,5.0,2.4,7.0,38.0,243.0,267.0,0.1,189.0,18.0,6.05,91.0,60.97,2.4,9
Cereal (Kellogg's All-Bran Complete Wheat Flakes),81.6,0.0,17.3,10.2,0.4,1.3,0.4,2.5,62.1,138.0,517.0,518.0,718.0,51.7,776.0,21.0,6.9,207.0,46.35,1.4,9
Cereal (Kellogg's All-Bran),74.24,0.0,29.3,13.14,0.89,2.0,1.1,4.9,17.6,362.0,1150.0,1020.0,258.0,12.4,522.0,18.8,12.0,20.0,1.19,5.2,3
Cereal (Kellogg's Apple Jacks),88.2,0.0,9.3,5.1,0.6,0.9,1.9,3.4,16.1,29.0,70.0,112.0,466.0,5.4,527.0,5.4,1.79,54.0,0.12,0.4,9
Cereal (Kellogg's Cocoa Krispies),87.9,0.0,1.4,4.6,0.3,0.1,2.1,2.7,14.5,38.0,102.0,197.0,424.0,5.0,1210.0,4.8,1.61,48.0,10.8,0.1,2
Cereal (Kellogg's Corn Flakes),84.1,0.0,3.3,7.5,0.067,0.196,0.116,0.4,28.9,39.0,102.0,168.0,729.0,1.0,490.0,5.0,1.79,21.0,0.12,0.0,9
Cereal (Kellogg's Corn Pops),89.7,0.0,8.4,4.8,0.2,0.5,0.5,1.3,6.0,28.0,52.0,113.0,357.0,5.0,467.0,5.0,1.67,20.0,0.12,0.0,9
Cereal (Kellogg's Cracklin' Oat Bran),70.3,0.0,12.7,9.2,4.9,2.8,6.2,14.1,3.7,153.0,278.0,403.0,280.0,3.1,244.0,3.1,1.02,31.0,0.0,3.0,14
Cereal (Kellogg's Crispix),87.19,0.0,1.0,6.59,0.2,0.3,0.2,0.8,28.0,13.0,45.0,71.0,660.0,5.19,494.0,6.19,2.41,21.0,0.1,0.1,9
Cereal (Kellogg's Froot Loops Marshmallow),89.3,0.0,7.4,4.59,0.5,0.69,1.5,2.79,15.5,25.0,65.0,95.0,393.0,5.19,507.0,5.19,1.72,52.0,0.3,0.6,9
Cereal (Kellogg's Froot Loops),88.0,0.0,9.3,5.3,0.6,0.9,1.8,3.4,15.5,31.0,74.0,117.0,469.0,5.2,501.0,5.2,1.72,52.0,0.15,0.3,9
Cereal (Kellogg's Frosted Flakes),89.2,0.0,2.2,3.96,0.265,0.669,0.451,1.68,26.7,8.0,47.0,76.0,468.0,0.15,450.0,8.1,3.573,24.2,0.07,0.2,9
Cereal (Kellogg's Frosted Mini-Wheats),83.4,0.0,10.8,9.2,0.2,0.9,0.4,1.6,28.0,86.0,368.0,363.0,2.0,2.7,0.0,2.6,0.86,0.0,0.67,1.6,3
Cereal (Kellogg's Honey Smacks),88.5,0.0,5.0,5.7,0.4,0.5,0.5,2.2,1.5,59.0,213.0,183.0,142.0,1.7,556.0,5.6,1.85,22.0,0.41,2.8,2
Cereal (Kellogg's Krave),82.08,0.0,10.1,6.19,0.19,0.571,6.0,6.97,24.86,58.0,167.0,259.0,554.0,1.33,690.0,6.48,2.152,64.8,0.5,1.7,9
Cereal (Kellogg's Low Fat Granola),73.75,1.0,9.4,9.96,4.759,3.765,1.532,11.46,3.03,93.0,347.0,426.0,103.0,1.9,1.0,0.1,0.184,0.4,1.1,10.7,3
Cereal (Kellogg's Raisin Bran Crunch),84.9,0.0,8.0,6.59,0.3,0.69,0.4,1.79,8.5,88.0,226.0,246.0,358.0,2.79,283.0,2.79,0.93,2.0,0.44,1.5,9
Cereal (Kellogg's Raisin Bran),77.29,0.0,11.4,7.72,0.339,0.949,0.48,2.72,12.33,122.0,347.0,653.0,356.0,3.39,386.0,2.0,1.843,0.0,0.66,2.1,14
Cereal (Kellogg's Rice Krispies Treats Cereal),85.59,1.0,0.4,4.3,1.2,0.2,0.89,4.19,6.0,21.0,62.0,51.0,567.0,0.69,500.0,5.0,1.66,20.0,0.36,1.0,9
Cereal (Kellogg's Rice Krispies),85.05,0.0,0.4,6.75,0.593,0.626,0.458,2.05,30.42,27.0,125.0,125.0,527.0,1.39,1136.0,7.23,2.35,63.3,26.64,0.0,2
Cereal (Kellogg's Smart Start Strong),86.8,0.0,5.4,7.5,0.1,0.5,0.3,1.5,36.0,29.0,131.0,182.0,398.0,30.0,688.0,12.0,4.0,30.0,27.0,1.1,9
Cereal (Kellogg's Smorz),87.2,0.0,3.8,3.34,2.079,0.231,0.961,3.5,15.87,36.0,141.0,176.0,534.0,0.56,1324.0,5.29,1.764,52.9,0.11,0.6,2
Cereal (Kellogg's Special K Blueberry),86.3,0.0,8.6,6.9,0.1,0.5,0.4,1.5,27.0,55.0,164.0,204.0,481.0,1.3,745.0,7.0,2.33,70.0,0.0,5.3,9
Cereal (Kellogg's Special K Chocolatey Delight),81.2,0.0,10.6,6.5,0.2,0.6,6.3,7.3,26.1,61.0,175.0,272.0,582.0,1.4,725.0,6.8,2.26,68.0,0.53,1.8,9
Cereal (Kellogg's Special K Cinnamon Pecan),81.2,0.0,10.3,7.5,2.8,2.1,0.7,6.0,27.0,67.0,191.0,267.0,650.0,1.5,750.0,7.0,2.33,70.0,0.44,0.9,9
Cereal (Kellogg's Special K Fruit & Yogurt),85.3,0.0,8.1,7.1,0.1,0.3,1.4,2.9,25.3,51.0,157.0,188.0,452.0,1.2,702.0,6.6,2.19,66.0,0.0,1.2,9
Cereal (Kellogg's Special K Red Berries),87.09,0.0,8.5,6.3,0.3,0.5,0.3,1.29,26.1,59.0,166.0,229.0,619.0,1.29,499.0,6.8,2.25,68.0,15.3,1.2,9
Cereal (Kellogg's Special K Vanilla Almond),83.0,0.0,9.6,7.8,2.0,1.1,0.4,4.0,27.0,74.0,204.0,254.0,559.0,1.6,749.0,7.0,2.32,70.0,1.64,0.7,9
Cereal (Kellogg's Special K),73.4,0.0,1.4,17.79,0.3,0.4,0.4,1.79,28.0,12.0,48.0,53.0,667.0,0.69,500.0,19.4,6.44,68.0,15.3,0.1,9
Cereal (Malt-O-Meal Blueberry Muffin Tops),81.81,0.0,10.9,9.09,0.797,0.721,0.228,1.94,29.45,100.0,273.0,327.0,18.0,6.82,0.0,2.73,0.91,0.0,0.86,1.6,3
Cereal (Malt-O-Meal Cinnamon Toasters),78.33,0.0,5.0,3.32,3.92,4.13,1.85,12.06,30.0,27.0,250.0,157.0,473.0,12.5,498.0,5.0,1.66,20.0,0.43,1.6,9
Cereal (Malt-O-Meal Coco-Roos),86.75,0.0,3.3,3.41,0.887,0.555,2.57,4.61,30.0,27.0,72.0,201.0,350.0,12.5,481.0,5.0,1.66,20.0,0.02,0.0,9
Cereal (Malt-O-Meal Cocoa Dyno-Bites),87.93,0.0,1.1,4.15,0.25,0.21,2.58,3.43,6.21,28.0,69.0,181.0,534.0,5.96,776.0,5.17,1.72,0.0,0.06,0.0,9
Cereal (Malt-O-Meal Colossal Crunch),81.59,0.0,1.7,3.64,1.47,0.69,2.24,5.28,30.0,5.0,57.0,110.0,806.0,12.5,479.0,5.0,1.66,20.0,0.15,0.0,9
Cereal (Malt-O-Meal Corn Bursts),90.59,0.0,1.9,3.32,0.084,0.157,0.093,0.35,5.8,4.0,37.0,71.0,855.0,4.84,700.0,4.84,3.23,48.4,0.07,0.0,9
Cereal (Malt-O-Meal Frosted Flakes),90.2,0.0,1.2,4.25,0.171,0.435,0.107,0.87,11.6,12.0,46.0,82.0,451.0,0.24,454.0,4.84,1.61,19.4,0.09,0.2,9
Cereal (Malt-O-Meal Fruity Dyno-Bites),90.1,1.0,1.0,3.9,2.12,0.258,0.64,3.15,7.62,15.0,67.0,76.0,630.0,5.99,1090.0,6.9,2.74,1.0,1.27,0.2,9
Cereal (Malt-O-Meal Golden Puffs),88.5,0.0,5.0,5.7,0.4,0.5,0.5,2.2,1.5,59.0,213.0,183.0,142.0,1.7,556.0,5.6,1.85,22.0,0.41,2.8,2
Cereal (Malt-O-Meal Honey Graham Squares),85.1,0.0,5.6,5.3,1.6,1.0,0.4,3.2,14.5,26.0,129.0,206.0,772.0,12.1,472.0,4.8,1.613,19.4,0.64,2.0,9
Cereal (Malt-O-Meal Honey Nut Toasty O's),79.69,0.0,7.1,8.85,1.104,1.024,0.529,5.0,20.58,90.0,328.0,412.0,566.0,17.17,834.0,7.5,2.267,21.4,0.48,2.3,9
Cereal (Malt-O-Meal Marshmallow Mateys),82.77,0.0,4.9,6.94,1.42,1.3,0.719,3.53,30.0,71.0,232.0,186.0,667.0,12.5,500.0,5.0,1.66,20.0,0.2,0.9,9
Cereal (Malt-O-Meal Toasted Oat Cereal),73.2,0.0,10.1,12.4,2.3,2.4,1.6,6.6,28.9,114.0,357.0,633.0,497.0,13.4,990.0,6.77,1.79,21.4,0.41,2.0,2
Cereal (Malt-O-Meal Tootie Fruities),85.94,0.0,2.2,4.69,1.47,0.976,0.687,3.2,28.12,24.0,78.0,104.0,453.0,11.72,448.0,4.69,1.55,18.8,0.01,0.1,9
Cereal (Nature Valley Granola),73.75,1.0,9.4,9.96,4.759,3.765,1.532,11.46,3.03,93.0,347.0,426.0,103.0,1.9,1.0,0.1,0.184,0.4,1.1,10.7,3
Cereal (Nature's Path Organic Flax Plus),75.27,0.0,16.6,11.91,0.9,3.01,0.62,5.46,5.89,28.0,460.0,501.0,458.0,0.31,0.0,0.0,0.03,0.0,1.27,0.3,10
Cereal (Post Alpha-Bits),80.3,0.0,7.1,10.0,1.5,1.8,1.1,4.6,30.0,99.0,309.0,267.0,592.0,5.0,741.0,5.0,1.7,20.0,0.31,1.4,9
Cereal (Post Bran Flakes),80.5,0.0,18.3,9.9,0.3,1.2,0.4,2.1,28.0,229.0,449.0,533.0,540.0,5.0,749.0,5.0,1.7,0.0,0.77,1.4,9
Cereal (Post Cocoa Pebbles),85.7,0.0,1.6,4.8,0.2,0.1,3.6,4.1,6.2,31.0,95.0,193.0,594.0,5.2,776.0,5.2,1.7,0.0,0.13,1.3,9
Cereal (Post Fruity Pebbles),86.1,0.0,0.8,4.62,0.16,0.12,3.6,4.02,6.67,16.0,71.0,72.0,531.0,5.56,833.0,5.56,1.85,22.2,0.13,1.3,9
Cereal (Post Golden Crisp),90.1,0.0,5.0,5.5,0.6,0.6,0.2,1.7,6.7,59.0,227.0,176.0,95.0,5.6,832.0,5.6,1.9,0.0,0.33,0.9,2
Cereal (Post Grape-Nuts),80.49,0.0,13.0,11.22,0.21,0.78,0.34,1.81,28.0,124.0,467.0,400.0,465.0,2.07,0.0,0.0,0.86,0.1,0.62,2.0,7
Cereal (Post Great Grains,76.6,0.0,11.1,8.9,3.0,1.7,0.8,5.9,3.8,89.0,255.0,308.0,214.0,3.1,467.0,3.1,1.0,25.0,5.63,2.0,2
Cereal (Post Great Grains Banana Nut Crunch),70.9,0.0,11.2,9.8,3.78,3.44,1.1,8.8,28.0,98.0,279.0,349.0,238.0,2.5,378.0,2.5,0.8,0.1,1.64,3.6,14
Cereal (Post Great Grains Raisins,74.3,0.0,9.3,7.9,3.8,2.1,0.8,7.1,16.4,87.0,253.0,378.0,247.0,2.2,407.0,2.7,0.9,0.5,0.57,2.6,14
Cereal (Post Honey Bunches of Oats Honey Roasted),81.19,0.0,4.2,7.12,2.831,1.307,0.64,5.46,34.82,50.0,156.0,209.0,454.0,5.03,806.0,9.67,2.64,0.0,1.22,3.0,9
Cereal (Post Honey Bunches of Oats with Almonds),79.6,0.0,5.5,7.7,4.0,2.1,0.8,7.3,33.8,61.0,172.0,211.0,417.0,0.9,680.0,4.7,1.6,0.0,1.86,3.1,9
Cereal (Post Honey Bunches of Oats with Vanilla Bunches),81.8,0.0,7.8,7.9,2.5,1.7,0.6,5.1,28.9,75.0,232.0,262.0,267.0,6.7,527.0,2.7,0.9,0.0,0.94,3.3,2
Cereal (Post Honeycomb),86.63,0.0,3.2,6.01,0.6,0.91,1.29,2.93,8.44,45.0,132.0,142.0,553.0,4.69,678.0,4.69,1.56,0.0,0.17,0.6,9
Cereal (Post Raisin Bran),78.9,0.0,13.7,7.6,0.349,0.796,0.296,1.6,18.3,168.0,339.0,525.0,382.0,3.8,380.0,2.5,0.8,0.9,0.54,1.9,14
Cereal (Post Shredded Wheat Honey Nut),83.6,0.0,10.7,8.5,1.2,1.2,0.4,2.9,28.0,93.0,274.0,348.0,102.0,2.5,0.0,2.5,0.8,0.0,1.2,1.5,3
Cereal (Post Shredded Wheat),80.18,0.0,12.4,11.58,0.295,1.26,0.405,2.06,2.56,132.0,380.0,384.0,2.0,2.97,0.0,0.0,0.155,0.0,0.32,1.4,3
Cereal (Quaker Cap'n Crunch's Crunchberries),85.93,0.0,2.6,4.45,0.63,0.75,3.08,4.83,19.8,55.0,168.0,187.0,725.0,15.56,7.0,0.0,2.14,0.1,0.63,0.6,13
Cereal (Quaker Cap'n Crunch's Peanut Butter Crunch),78.65,0.0,2.7,7.1,2.641,2.148,3.92,9.23,18.36,69.0,194.0,236.0,742.0,15.29,8.0,0.0,2.038,0.0,0.61,0.2,13
Cereal (Quaker Cap'n Crunch),85.51,0.0,2.5,4.39,0.639,0.747,3.346,5.12,19.42,55.0,167.0,186.0,754.0,16.16,7.0,0.0,2.138,0.0,0.62,0.6,13
Cereal (Quaker Christmas Crunch),85.92,0.0,2.6,4.44,0.627,0.751,3.081,4.83,19.78,55.0,168.0,186.0,724.0,16.36,27.0,0.0,2.179,0.1,0.42,1.1,13
Cereal (Quaker Granola with Oats,73.75,1.0,9.4,9.96,4.759,3.765,1.532,11.46,3.03,93.0,347.0,426.0,103.0,1.9,1.0,0.1,0.184,0.4,1.1,10.7,3
Cereal (Quaker Honey Graham Oh's),83.65,0.0,2.1,3.92,0.704,0.722,5.709,7.63,19.52,43.0,133.0,167.0,679.0,5.99,436.0,0.0,0.321,36.4,5.39,0.7,9
Cereal (Quaker Life),77.74,0.0,6.6,9.98,1.48,1.42,0.83,4.43,29.33,98.0,423.0,283.0,501.0,13.78,2.0,0.0,1.8,0.0,0.61,1.2,7
Cereal (Quaker Oatmeal Squares),77.77,0.0,8.3,11.38,1.594,1.523,0.873,4.83,29.3,115.0,371.0,357.0,347.0,7.18,356.0,0.0,0.88,11.5,4.86,1.6,14
Cereal (Quaker Toasted Oat Bran),74.9,0.0,10.2,12.38,1.58,2.04,0.91,5.11,29.9,168.0,518.0,438.0,365.0,7.72,359.0,0.0,0.89,11.5,3.11,2.1,14
Cereal (Uncle Sam),65.78,0.0,20.3,15.98,1.419,5.987,0.946,11.6,4.03,206.0,374.0,446.0,206.0,3.87,0.0,0.0,0.956,2.4,0.9,1.8,3
Cereal bar with fruit filling,68.63,1.0,1.7,5.43,3.107,1.541,0.453,5.3,13.16,19.0,247.0,180.0,157.0,0.59,14.0,0.19,1.105,2.4,0.9,4.1,3
Cereal beverage,1.0,0.0,0.3,0.08,0.005,0.016,0.008,0.03,0.06,4.0,7.0,31.0,5.0,0.02,0.0,0.0,0.01,0.0,0.01,0.0,5
Cereal beverage with beet roots,1.0,0.0,0.3,0.08,0.005,0.016,0.008,0.03,0.06,4.0,7.0,31.0,5.0,0.02,0.0,0.0,0.01,0.0,0.01,0.0,5
Cereal or Granola bar,64.4,0.0,5.3,10.1,4.38,12.05,2.37,19.8,2.95,97.0,277.0,336.0,294.0,2.03,2.0,0.0,0.085,0.9,2.09,14.6,10
Cereal or granola bar,66.0975,1.0,5.833333333333333,7.086666666666666,5.7305,4.155,6.146249999999999,17.2975,1.9625,80.91666666666667,201.0,269.75,244.91666666666663,1.4974999999999998,63.75,0.0483333333333333,0.4208333333333333,0.5083333333333333,2.974166666666666,4.691666666666666,10
Cereal or granola bar (General Mills Fiber One Chewy Bar),69.82,0.0,22.5,5.0,3.522,2.334,3.397,10.0,0.9,190.0,419.0,447.0,237.0,1.96,0.0,0.0,0.963,1.2,1.47,2.6,3
Cereal or granola bar (General Mills Nature Valley Chewy Trail Mix),72.27,0.0,3.8,5.71,4.585,4.028,1.435,11.43,8.71,63.0,168.0,189.0,185.0,1.35,302.0,0.0,0.52,0.1,2.66,7.5,9
Cereal or granola bar (General Mills Nature Valley Crunchy Granola Bar),64.4,0.0,5.3,10.1,4.38,12.05,2.37,19.8,2.95,97.0,277.0,336.0,294.0,2.03,2.0,0.0,0.085,0.9,2.09,14.6,10
Cereal or granola bar (General Mills Nature Valley Sweet and Salty Granola Bar),61.14,0.0,2.9,9.14,9.083,5.141,6.857,22.86,1.44,102.0,272.0,390.0,414.0,1.77,142.0,0.25,0.32,0.3,6.89,11.7,10
Cereal or granola bar (KIND Fruit and Nut Bar),44.3,0.0,6.6,13.69,19.004,7.487,3.834,31.89,3.09,167.0,315.0,460.0,45.0,2.66,0.0,0.0,0.18,0.1,10.2,7.7,3
Cereal or granola bar (Kashi Chewy),63.42,6.0,7.7,16.67,2.558,1.228,3.227,7.69,1.62,321.0,255.0,429.0,321.0,1.4,17.0,0.16,0.095,0.4,0.81,3.6,10
Cereal or granola bar (Kashi Crunchy),53.26,0.0,11.4,18.57,9.486,4.181,1.213,15.71,3.39,107.0,271.0,415.0,293.0,1.6,2.0,0.0,0.063,0.0,7.14,2.7,10
Cereal or granola bar (Kellogg's Nutri-Grain Cereal Bar),67.61,0.0,3.0,4.22,1.989,4.544,1.442,8.67,6.14,37.0,134.0,247.0,354.0,5.24,604.0,0.0,1.833,7.8,0.93,15.3,9
Cereal or granola bar (Kellogg's Nutri-Grain Fruit and Nut Bar),66.72,0.0,7.5,9.38,5.705,2.581,1.93,10.93,5.65,105.0,290.0,328.0,195.0,3.28,267.0,1.16,0.612,0.2,3.72,1.2,14
Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),67.61,0.0,3.0,4.22,1.989,4.544,1.442,8.67,6.14,37.0,134.0,247.0,354.0,5.24,604.0,0.0,1.833,7.8,0.93,15.3,9
Cereal or granola bar (Kellogg's Special K bar),72.73,0.0,1.8,9.09,6.567,2.049,0.0,9.09,2.56,46.0,136.0,143.0,428.0,1.78,0.0,0.0,0.909,0.0,2.94,1.2,13
Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),69.4,0.0,3.1,5.55,5.303,1.44,5.008,12.5,2.03,48.0,159.0,199.0,312.0,1.34,0.0,0.09,0.089,0.1,1.52,2.3,1
Cereal or granola bar (Quaker Chewy 90 Calorie Granola Bar),79.17,0.0,4.2,4.17,2.945,1.929,2.083,8.33,1.5,71.0,152.0,224.0,313.0,1.23,3.0,0.03,0.122,0.5,2.23,2.8,1
Cereal or granola bar (Quaker Chewy Dipps Granola Bar),64.96,0.0,3.2,7.52,3.499,7.051,8.693,20.42,1.16,55.0,162.0,231.0,269.0,1.2,4.0,0.06,0.115,0.3,4.19,2.0,10
