nutrient_total_fat,nutrient_total_carb,nutrient_protein,nutrient_sat_fat,nutrient_cholesterol,nutrient_sodium,nutrient_fiber,nutrient_calcium,Calories,Score,nutrient_vitamin_a,Category
9.74,2.43,6.04,5.974,57.0,440.0,0.3,64.0,150.49,7.405,120.0,Alfredo sauce with seafood and added vegetables
55.5,18.82,20.96,6.55,0.0,171.0,10.3,347.0,554.9,5.096,0.0,Almond butter
13.3,4.69,16.07,1.969,57.0,335.0,1.2,36.0,197.8,5.5925,19.0,Almond chicken
0.96,4.0925,0.4175,0.08975,0.0,70.0,0.25,179.0,49.24,5.212000000000001,87.25,Almond milk
100.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,503.24,5.469833333333335,0.0,Almond oil
27.74,47.81,9.0,2.629,0.0,9.0,4.8,172.0,433.4,5.313999999999998,0.0,Almond paste
46.126999999999995,30.538,17.683,5.453,0.8,155.9,9.059999999999999,233.1,506.88,5.7493333333333325,1.9,Almonds
0.0,3.75,0.0,0.0,0.0,8.0,0.0,8.0,19.8,5.229333333333333,0.0,Aloe vera juice drink
0.96,16.16,0.9,0.748,0.0,1.0,2.3,24.0,88.2,4.267666666666667,7.0,Ambrosia
9.71,0.0,28.89,2.203,85.0,3668.0,0.0,232.0,178.56,4.944999999999999,12.0,Anchovy
92.18,0.0,2.23,35.58,93.0,604.0,0.0,5.0,548.2,7.266666666666667,0.0,Animal fat or drippings
9.7,74.2,10.1,2.525,8.0,227.0,2.5,20.0,329.85,5.673999999999999,16.0,Anisette toast
10.69,3.88,11.62,4.634,39.0,869.0,1.1,178.0,216.8,6.14,288.0,Antipasto with ham
1.42,33.0025,0.7125,0.633,2.5,38.5,3.8499999999999996,18.25,150.68,5.364000000000001,8.75,Apple
0.13,11.3,0.1,0.022,0.0,4.0,0.2,8.0,44.6,4.46,0.0,Apple cider
0.125,11.3975,0.07,0.02175,0.0,5.0,0.25,52.25,44.6,4.42,0.25,Apple juice
0.1,5.1,0.0,0.0,0.0,13.0,0.0,3.0,24.11,5.278978571428571,0.0,Apple juice beverage
0.1,26.1,0.1,0.0,0.0,47.0,1.0,4.0,108.4,5.268,2.0,Apple pie filling
13.92,12.15,1.48,1.906,5.0,86.0,2.1,16.0,194.66,5.389000000000001,6.0,Apple salad with dressing
1.6,19.5,0.8,1.034,6.0,20.0,0.5,6.0,102.5,5.028,3.0,Apple yogurt dessert
0.1,12.3,0.2,0.018,0.0,4.0,0.2,7.0,50.2,4.214,0.0,Apple-banana juice
0.1,11.2,0.2,0.02,0.0,4.0,0.3,7.0,44.6,4.475,1.0,Apple-cherry juice
0.1,18.1,0.2,0.018,0.0,8.0,0.1,9.0,76.2,4.369515151515151,1.0,Apple-fruit juice blend
0.2,11.34,0.1,0.04,0.0,0.0,0.1,6.0,44.6,4.351,0.0,Apple-grape juice
0.1,10.5,0.2,0.018,0.0,0.0,0.1,3.0,39.2,4.513999999999999,3.0,Apple-peach juice
0.1,18.1,0.2,0.018,0.0,8.0,0.1,9.0,76.2,4.369515151515151,1.0,Apple-prune juice
0.20000000000000004,15.86,0.20000000000000004,0.029666666666666664,0.0,0.0,2.033333333333333,5.0,69.8,4.956666666666666,1.6666666666666667,Apple-raspberry
0.1,11.4,0.3,0.03,0.0,5.0,0.5,15.0,45.0,4.615,154.0,Apple-sweet potato juice
0.36,11.56,0.19,0.02,0.0,2.0,1.9,4.0,50.1,4.559559523809524,1.0,Apples
1.38,10.88,2.16,0.347,5.0,12.0,1.8,18.0,64.8,4.657,2.0,Apples and chicken
0.12333333333333334,10.876666666666667,0.19999999999999998,0.012333333333333333,0.0,0.6666666666666666,2.2,6.0,44.9,5.173916666666667,0.6666666666666666,Apples and pears
0.22,15.3,0.3,0.041,0.0,3.0,1.4,8.0,60.6,4.624,103.0,Apples and sweet potatoes
0.9,10.9,2.6,0.25,8.0,9.0,1.8,4.0,67.4,4.3475,0.0,Apples with ham
0.12333333333333334,12.983333333333334,0.13166666666666668,0.01933333333333333,0.0,1.1666666666666667,1.4333333333333333,3.8333333333333335,51.2,5.320666666666667,0.3333333333333333,Applesauce
0.20000000000000004,12.020000000000001,0.20000000000000004,0.026,0.0,0.0,1.8,6.0,50.1,4.450256493506494,9.666666666666666,Applesauce and apricots
0.10000000000000002,16.16,0.36999999999999994,0.04,0.0,3.0,1.6000000000000003,5.0,65.0,4.400416666666667,0.0,Applesauce with bananas
0.0,14.1,0.0,0.0,0.0,1.0,1.1,1.0,57.5,3.57,2.0,Applesauce with cherries
0.3566666666666667,29.203333333333333,1.8133333333333335,0.018,0.0,4.666666666666667,3.6,25.0,124.82,4.912,122.0,Apricot
0.45,13.63,0.17,0.033,0.0,8.0,0.1,11.0,62.4,4.67295238095238,16.0,Apricot nectar
0.0,16.8,0.3,0.0,0.0,0.0,1.5,8.333333333333334,70.5,4.851999999999999,36.0,Apricots
13.94,30.45,5.68,9.074,48.0,401.0,2.4,83.0,293.0,6.375,60.0,Arepa Dominicana
4.36,0.0,28.18,1.295,77.0,222.0,0.0,16.0,151.73,5.661999999999999,0.0,Armadillo
1.4242857142857144,11.77,2.8514285714285714,0.38671428571428573,0.8571428571428571,161.14285714285714,5.614285714285714,21.0,69.05,4.186,5.714285714285714,Artichoke
33.12,5.47,3.65,8.274,39.0,601.0,0.9,101.0,364.04,7.131666666666666,62.0,Artichoke dip
4.405,16.91,4.075,1.0595,2.5,291.5,4.7,52.5,122.0,4.590285714285715,13.0,Artichokes
5.4,9.42,11.53,0.947,27.0,174.0,2.0,43.0,112.33,5.000523809523809,112.0,Asian chicken or turkey garden salad
5.27,7.91,10.36,0.8,24.0,165.0,1.9,46.0,109.8,4.8646666666666665,132.0,Asian chicken or turkey garden salad with crispy noodles
1.5499999999999998,9.690000000000001,2.115,0.42600000000000005,1.0,139.0,2.9,37.5,69.16,4.292,234.0,Asian stir fry vegetables
2.2207142857142856,2.9535714285714287,2.406428571428571,0.6165714285714285,1.4285714285714286,164.85714285714286,1.8357142857142859,20.5,53.01,5.146,46.785714285714285,Asparagus
2.3066666666666666,5.913333333333334,2.03,0.7996666666666666,4.666666666666667,350.6666666666667,0.20000000000000004,53.666666666666664,52.64,4.95,32.333333333333336,Asparagus soup
14.66,8.53,2.0,2.126,0.0,7.0,6.7,12.0,201.12,5.0183333333333335,7.0,Avocado
43.33,7.36,1.9,5.978,40.0,867.0,0.1,34.0,459.38,8.29,10.0,Avocado dressing
21.6,64.8,5.4,12.1,0.0,230.0,2.0,47.0,456.51,6.760178571428571,0.0,Baby Ruth
0.08,16.11,0.08,0.006,0.0,77.0,0.0,2.0,68.6,5.597,0.0,Bacardi cocktail
22.268571428571427,10.481428571428571,20.57714285714286,7.456285714285714,65.14285714285714,1076.0,0.6285714285714287,71.28571428571429,350.1,7.13,18.0,Bacon
17.02,26.13,13.7,7.411,43.0,923.0,1.0,718.0,309.0,6.439000000000001,123.0,Bacon and cheese sandwich
12.79,21.23,13.42,3.531,171.0,514.0,1.0,114.0,217.0,6.071000000000001,70.0,Bacon and egg sandwich
35.0,2.0,1.8,5.435,4.0,905.0,0.2,4.0,408.1,8.045,11.0,Bacon and tomato dressing
25.9,28.6,32.0,4.055,0.0,1770.0,10.2,101.0,412.7,6.564,0.0,Bacon bits
20.99,37.56,10.52,11.824,14.0,1069.0,2.2,62.0,413.5,7.6,17.0,Bacon on biscuit
35.09,1.7,33.92,11.964,99.0,1684.0,0.0,11.0,498.2,7.77,11.0,Bacon or side pork
18.0,30.38,17.48,5.211,36.0,902.0,1.4,132.0,334.4,6.562666666666667,5.0,Bacon sandwich
2.93,3.63,1.21,0.861,4.0,358.0,0.0,9.0,71.85,5.27,22.0,Bacon soup
29.52,5.31,11.69,4.622,0.0,1465.0,2.6,23.0,447.4,7.55,4.0,Bacon strip
1.5264285714285715,50.332857142857144,9.957857142857142,0.08414285714285714,0.0,417.14285714285717,3.614285714285714,102.5,251.9,4.733333333333333,0.0,Bagel
15.14,66.36,12.34,6.835,0.0,233.0,4.1,24.0,442.4,6.623999999999999,0.0,Bagel chips
0.5533333333333333,21.02,4.68,0.13466666666666668,2.3333333333333335,334.6666666666667,4.666666666666667,41.0,120.2,4.285,3.6666666666666665,Baked beans
1.35,23.29,4.38,0.29,7.0,491.0,4.3,38.0,120.8,4.684000000000001,1.0,Baked beans from fast food / restaurant
27.23,38.58,5.62,12.569,47.0,354.0,2.1,27.0,417.5,6.48,150.0,Baklava
2.93,3.13,1.68,0.812,2.0,16.0,1.4,8.0,93.82857142857144,4.4995,12.0,Bamboo shoots
1.77,27.549999999999997,1.1400000000000001,1.0065,4.0,2.5,2.7,9.0,133.32,5.516166666666667,15.0,Banana
0.2,16.3,0.3,0.058,0.0,7.0,1.0,3.0,65.6,3.8436666666666666,2.0,Banana apple dessert
33.6,58.4,2.3,28.97,0.0,6.0,7.7,18.0,440.6,5.8580000000000005,4.0,Banana chips
0.8,17.54,2.5,0.517,3.0,37.0,0.4,79.0,109.2,5.1339999999999995,6.0,Banana juice with lowfat yogurt
0.15,17.95,0.38,0.039,0.0,2.0,0.9,4.0,70.9,4.986000000000001,1.0,Banana nectar
2.515,21.04,1.84,0.736,32.0,91.5,0.8500000000000001,26.5,129.0,5.005999999999999,10.0,Banana pudding
6.9,32.53,2.53,4.121,24.0,98.0,1.3,74.0,225.7,6.2589999999999995,68.0,Banana split
0.36,21.31,1.01,0.081,0.0,0.0,1.0,0.0,82.78,5.16,3.0,Banana with mixed berries
0.52,17.35,1.1,0.37,1.0,14.0,0.5,30.0,90.2,4.888,3.0,Banana yogurt dessert
0.18333333333333335,18.563333333333333,0.6,0.06799999999999999,0.0,0.6666666666666666,1.6000000000000003,6.0,79.9,3.9739999999999998,1.3333333333333333,Bananas
0.05000000000000001,18.099999999999998,0.20000000000000004,0.018,0.0,0.0,1.6000000000000003,7.0,70.7,4.924166666666667,2.3333333333333335,Bananas and pineapple
0.37,25.78,0.71,0.121,0.0,1.0,1.4,0.0,106.8,4.457,3.0,Bananas and strawberry
0.22,19.31,0.9,0.106,0.0,2.0,1.4,5.0,80.5,4.784,3.0,Bananas with apples and pears
0.0,20.41,1.06,0.0,0.0,10.0,2.1,0.0,86.4,3.752999999999999,28.0,Bananas with orange
0.63,40.77,0.82,0.045,0.0,1027.0,0.9,33.0,173.3,6.055,11.0,Barbecue sauce
11.34,40.46,5.41,6.115,35.0,71.0,0.4,148.0,290.0,6.394333333333334,96.0,Barfi or Burfi
1.2,27.80333333333333,2.2333333333333334,0.4603333333333333,1.3333333333333333,192.0,3.766666666666667,11.0,134.0,4.704000000000001,7.666666666666667,Barley
6.6,69.4,13.2,0.894,0.0,33.0,6.6,643.0,337.5,3.8990000000000005,0.0,Barley cereal
1.2650000000000001,9.905,1.915,0.2435,2.0,150.5,0.9,12.0,62.07,4.9013333333333335,7.0,Barley soup
12.295714285714284,5.1085714285714285,23.25,3.048142857142857,57.0,409.14285714285717,0.2571428571428571,39.142857142857146,213.1,4.698,22.142857142857142,Barracuda
8.46,44.07,4.15,2.361,3.0,83.0,0.5,113.0,274.25,5.566999999999999,13.0,Basbousa
0.64,2.65,3.15,0.041,0.0,4.0,1.6,177.0,49.47,4.382999999999999,264.0,Basil
1.5599999999999998,11.04,5.493333333333333,0.5206666666666667,5.666666666666667,284.6666666666667,2.566666666666667,27.0,111.11,4.855507936507936,51.333333333333336,Bean and ham soup
21.26,49.58,5.63,2.906,0.0,186.0,3.0,13.0,423.26,5.255999999999999,0.0,Bean cake
21.6,53.18,14.4,2.872,0.0,408.0,10.1,36.0,426.46,3.895999999999999,1.0,Bean chips
3.7,15.89,5.44,0.529,0.0,443.0,4.9,26.0,130.8,5.000833333333333,0.0,Bean dip
0.47,49.98,6.22,0.052,0.0,124.0,5.3,21.0,239.2,3.669999999999999,0.0,Bean paste
5.0,12.98,3.53,0.712,0.0,266.0,3.5,27.0,117.33,4.113333333333332,5.0,Bean salad
1.5474999999999999,10.25,4.4350000000000005,0.4185,3.0,264.5,2.65,35.25,89.96,4.960999999999999,20.5,Bean soup
3.55,6.01,6.42,0.7035,1.0,66.5,2.55,34.5,113.13,3.9682000000000004,6.0,Bean sprouts
2.32,8.89,3.08,0.597,1.0,354.0,3.1,33.0,62.75,4.997999999999999,18.0,Bean with bacon or ham soup
3.2350000000000003,16.857,5.479,0.47859999999999997,0.0,170.9,5.49,52.5,131.55,2.164,8.7,Beans
4.49,24.17,6.52,0.688,0.0,214.0,4.2,52.0,159.0,2.9189999999999996,0.0,Beans and brown rice
5.22,17.29,6.74,2.076,19.0,438.0,3.3,33.0,137.9,5.525833333333333,1.0,Beans and franks
4.896666666666667,23.28333333333333,6.16,0.745,2.0,290.3333333333333,3.9333333333333336,33.666666666666664,152.6,4.4639999999999995,1.6666666666666667,Beans and rice
3.045,18.3,6.21,0.4495,0.0,360.5,6.25,31.5,129.4,3.9069999999999987,7.0,Beans and tomatoes
4.21,25.19,6.5,0.615,0.0,231.0,3.7,54.0,159.9,3.4,0.0,Beans and white rice
6.88,20.56,10.7,1.17,11.0,275.0,7.1,35.0,185.7,4.632,1.0,Beans with meat
13.33,0.0,32.28,3.525,98.0,233.0,0.0,5.0,209.44,5.8660000000000005,0.0,Bear
6.93,0.0,34.7,2.061,117.0,221.0,0.0,22.0,173.04,5.747000000000001,0.0,Beaver
9.67012987012987,7.231558441558442,15.995194805194807,3.3485064935064934,49.77922077922078,414.76623376623377,0.6051948051948052,20.493506493506494,182.36,5.505,28.428571428571427,Beef
10.65,5.31,10.55,1.945,25.0,439.0,1.4,34.0,189.24,5.625,14.0,Beef and broccoli
2.08,7.739999999999999,2.47,0.8516666666666667,8.0,20.333333333333332,1.2,9.0,65.83,4.739,34.333333333333336,Beef and egg noodles
5.38,12.31,9.12,2.158,24.0,398.0,0.5,52.0,117.6,5.349,17.0,Beef and macaroni with cheese sauce
8.41,16.24,11.37,2.688,48.0,382.0,0.8,16.0,179.66,5.334,20.0,Beef and noodles
5.26,15.02,7.85,2.167,34.0,296.0,0.6,43.0,122.57,5.16,42.0,Beef and noodles with cream or white sauce
5.07,15.39,7.7,1.215,32.0,304.0,0.7,11.0,122.37,5.02525,4.0,Beef and noodles with gravy
4.83,13.16,9.22,2.136,21.0,340.0,1.2,78.0,119.73,5.548333333333334,28.0,Beef and noodles with meat sauce and cheese
5.13,14.97,7.54,1.252,29.0,310.0,0.8,23.0,120.0,5.11525,9.0,Beef and noodles with mushroom sauce
10.06,7.64,13.18,2.237,35.0,273.0,0.6,16.0,169.23,5.499,2.0,Beef and noodles with soy-based sauce
3.92,10.67,8.74,1.529,23.0,274.0,0.4,24.0,110.8,5.266333333333335,8.0,Beef and noodles with tomato-based sauce
4.93,14.52,7.92,1.159,20.0,305.0,1.3,8.0,112.2,5.37125,0.0,Beef and potatoes
5.6,11.1,8.15,2.798,24.0,316.0,0.9,94.0,121.1,5.2763333333333335,23.0,Beef and potatoes with cheese sauce
3.8,8.67,7.73,1.003,17.0,331.0,0.7,32.0,106.0,5.455,12.0,Beef and potatoes with cream sauce
5.0,17.23,7.27,1.109,17.0,312.0,0.2,8.0,132.1,5.164,0.0,Beef and rice
1.21,6.23,5.83,0.447,15.0,425.0,0.9,14.0,94.85,5.176,20.0,Beef and rice soup
5.36,14.64,8.07,2.263,24.0,301.0,0.4,33.0,117.6,5.379,15.0,Beef and rice with cheese sauce
5.17,15.89,6.69,2.056,19.0,305.0,0.2,41.0,124.2,5.3870000000000005,38.0,Beef and rice with cream sauce
5.12,15.98,6.28,1.141,15.0,315.0,0.2,10.0,121.9,4.917999999999999,0.0,Beef and rice with gravy
5.17,15.54,6.25,1.182,13.0,313.0,0.4,21.0,123.5,4.837999999999999,6.0,Beef and rice with mushroom sauce
10.27,8.05,13.57,2.292,36.0,275.0,0.5,18.0,165.9,5.2825,3.0,Beef and rice with soy-based sauce
5.15,15.88,6.39,1.055,14.0,308.0,0.7,11.0,124.1,4.877999999999999,7.0,Beef and rice with tomato-based sauce
1.48,14.13,4.33,0.396,7.0,676.0,1.8,49.0,95.6,5.486428571428571,95.0,Beef and vegetables
7.859999999999999,5.34,10.056666666666667,1.7723333333333333,27.333333333333332,293.6666666666667,0.9666666666666668,14.666666666666666,142.6,5.75,6.333333333333333,Beef and vegetables excluding carrots
7.63,4.096666666666667,10.406666666666666,1.766,28.333333333333332,291.6666666666667,1.2333333333333334,20.666666666666668,140.43,5.795,161.66666666666666,Beef and vegetables including carrots
5.37,26.04,16.73,1.763,38.0,410.0,0.8,63.0,201.9,6.444333333333334,2.0,Beef barbecue submarine sandwich
13.12,0.0,28.52333333333333,4.889,92.0,390.3333333333333,0.0,6.333333333333333,218.37,5.8389999999999995,0.0,Beef brisket
1.4800000000000002,1.1633333333333333,1.4366666666666665,0.24066666666666667,0.0,227.66666666666666,0.19999999999999998,8.333333333333334,35.01,5.465,4.666666666666667,Beef broth
5.99,4.06,18.5,1.776,52.0,369.0,0.7,20.0,124.56,5.5003333333333355,1.0,Beef burgundy
2.61,3.85,10.76,0.748,25.0,253.0,0.8,22.0,93.89,5.460416666666667,10.0,Beef chow mein or chop suey
4.89,11.17,10.78,1.481,22.0,328.0,1.5,19.0,116.27,5.318,9.0,Beef chow mein or chop suey with noodles
6.53,6.46,7.56,1.801,20.0,359.0,1.4,20.0,141.94,5.635,46.0,Beef curry
4.03,15.08,5.61,1.111,12.0,313.0,1.0,16.0,120.0,5.0089999999999995,28.0,Beef curry with rice
8.34,10.94,6.82,4.169,40.0,274.0,1.2,15.0,141.36,6.316666666666666,52.0,Beef dinner
1.11,10.08,3.97,0.554,6.0,338.0,0.6,13.0,85.78,5.145,54.0,Beef dumpling soup
7.88,4.68,13.89,2.446,185.0,326.0,0.3,35.0,143.91,5.249166666666667,74.0,Beef egg foo yung
4.14,16.73,5.04,1.16,7.0,426.0,2.2,35.0,129.2,4.765333333333333,10.0,Beef enchilada
4.14,16.73,5.04,1.16,7.0,426.0,2.2,35.0,129.2,4.765333333333333,10.0,Beef enchilada dinner
3.78,2.79,13.69,0.923,35.0,223.0,0.4,17.0,110.41,4.126000000000002,5.0,Beef goulash
5.1,10.88,12.5,1.069,37.0,164.0,0.7,18.0,116.0,4.704666666666665,5.0,Beef goulash with noodles
4.39,7.68,11.46,0.925,27.0,178.0,0.9,17.0,107.4,5.091523809523809,4.0,Beef goulash with potatoes
25.6,11.0,33.2,10.85,48.0,1785.0,1.8,20.0,390.9,7.52,0.0,Beef jerky
4.93,5.105,27.57,2.7155,385.5,400.0,0.0,6.0,151.1,5.678,8521.0,Beef liver
1.6266666666666667,4.796666666666667,5.0,0.5386666666666667,12.666666666666666,361.0,0.5333333333333333,12.0,96.37,4.976384615384615,19.0,Beef noodle soup
13.5,17.09,7.99,3.468,16.0,396.0,1.2,11.0,217.28,5.5520000000000005,86.0,Beef pot pie
1.11,10.08,3.97,0.554,6.0,338.0,0.6,13.0,85.78,5.145,54.0,Beef rice soup
9.04,6.46,20.53,3.373,56.0,349.0,0.7,13.0,171.01,5.442,92.0,Beef rolls
19.32,2.82,17.9,3.85,61.0,335.0,0.4,19.0,258.38,5.843,12.0,Beef salad
7.33,18.68,11.93,2.236,23.0,404.0,0.6,197.0,185.4,5.415,18.0,Beef sandwich
20.05,5.59,18.05666666666667,6.75,60.666666666666664,659.6666666666666,0.0,18.0,275.31,6.2225,15.333333333333334,Beef sausage
29.01,3.4,13.78,11.976,65.0,946.0,0.0,136.0,371.84,7.71,41.0,Beef sausage with cheese
4.9,5.0,14.7,1.661,41.0,208.0,0.9,14.0,114.6,5.122000000000001,8.0,Beef shish kabob with vegetables
5.68,15.6,9.13,2.517,26.0,238.0,1.4,22.0,133.2,5.078,19.0,Beef short ribs
6.65,9.14,10.61,2.516,34.0,580.0,0.8,26.0,150.77,5.297000000000001,14.0,Beef sloppy joe
10.352777777777778,3.8044444444444445,26.829444444444444,3.789722222222222,88.55555555555556,388.3333333333333,0.17777777777777776,23.166666666666668,188.55,6.216,6.777777777777778,Beef steak
24.12,3.94,20.92,6.202,62.0,999.0,0.7,17.0,355.0,7.06,0.0,Beef steak with onions
6.625,3.77,11.94,2.0462499999999997,34.25,328.5,0.825,14.0,146.46,5.53,27.25,Beef stew
6.3225,7.6499999999999995,11.307500000000001,1.80825,31.25,325.25,0.95,15.0,116.1,5.1739999999999995,2.75,Beef stew with potatoes
2.385,8.47,6.705,0.6285000000000001,16.0,216.0,1.25,14.0,79.22,4.8395,4.0,Beef stew with potatoes and vegetables excluding carrots
3.0949999999999998,8.41,5.725,1.0074999999999998,14.5,252.5,1.2999999999999998,14.5,93.76,5.215,58.0,Beef stew with potatoes and vegetables including carrots
14.14,6.73,15.08,3.912,41.0,572.0,2.2,21.0,224.12,5.96,116.0,Beef stew with vegetables excluding potatoes
9.6,5.99,9.91,3.333,36.0,454.0,0.7,38.0,174.35,5.71,26.0,Beef stroganoff
4.6,9.0,5.1,2.324,21.0,435.0,0.6,20.0,110.73,5.5489999999999995,84.0,Beef stroganoff soup
6.98,8.84,7.66,2.368,30.0,313.0,0.7,29.0,147.04,5.428,19.0,Beef stroganoff with noodles
11.32,6.33,12.99,5.26,44.0,472.0,0.9,130.0,188.75,6.205,69.0,Beef taco filling: beef
2.23,4.57,7.91,0.742,20.0,336.0,1.2,23.0,98.52,5.354384615384615,30.0,Beef vegetable soup
1.16,6.16,3.18,0.407,7.0,326.0,1.2,18.0,46.9,4.938166666666667,115.0,Beef vegetable soup with potato
27.37,10.1,19.1,9.552,83.0,182.0,0.4,9.0,330.52,5.6370000000000005,15.0,Beef wellington
6.23,11.75,20.86,2.309,61.0,361.0,0.3,14.0,142.43,5.0488333333333335,3.0,Beef with barbecue sauce
9.24,2.74,22.49,3.86,69.0,343.0,0.0,41.0,164.48,6.077999999999999,40.0,Beef with cream or white sauce
7.05,1.58,21.56,2.568,64.0,360.0,0.0,8.0,164.74,4.863,0.0,Beef with gravy
7.52,1.84,21.97,2.687,64.0,355.0,0.1,20.0,167.55,5.025,6.0,Beef with mushroom sauce
12.38,3.46,15.86,2.761,43.0,333.0,0.5,19.0,187.1,5.3705,3.0,Beef with soy-based sauce
4.37,12.23,6.92,1.238,16.0,278.0,0.6,8.0,113.57,5.395,7.0,Beef with spaetzle or rice
8.36,16.01,11.55,1.858,26.0,353.0,0.8,32.0,180.42,5.212999999999999,5.0,Beef with sweet and sour sauce
6.36,1.58,21.72,2.391,63.0,363.0,0.4,9.0,146.61,4.793500000000002,6.0,Beef with tomato-based sauce
6.95,4.68,10.64,2.63,34.0,292.0,0.8,34.0,148.27,5.513,114.0,Beef with vegetable
4.515,7.540000000000001,2.7649999999999997,1.8435,12.0,32.0,1.8,15.0,115.27,4.989,139.5,Beef with vegetables
7.16,6.465,7.76,1.5514999999999999,19.5,309.5,1.2,22.0,141.8,5.641,13.5,Beef with vegetables excluding carrots
7.0649999999999995,4.86,8.02,1.557,20.5,303.5,1.4,26.0,141.73,5.6160000000000005,140.0,Beef with vegetables including carrots
0.0,1.392,0.404,0.0,0.0,3.8,0.0,4.8,4.43,4.731,0.0,Beer
15.43,6.52,6.19,9.224,45.0,303.0,0.3,162.0,215.4,5.52,182.0,Beer cheese soup
1.4949999999999999,4.42,2.25,0.40800000000000003,1.0,296.0,3.8,119.5,50.49,4.7909999999999995,320.0,Beet greens
0.06,5.91,0.72,0.01,0.0,19.0,1.1,12.0,29.3,2.9169476190476193,1.0,Beet juice
1.2911111111111113,9.013333333333334,1.171111111111111,0.3502222222222222,0.8888888888888888,148.88888888888889,1.9555555555555553,14.88888888888889,61.12,4.992166666666666,6.333333333333333,Beets
20.18,53.69,5.46,8.403,27.0,281.0,1.9,90.0,427.13,7.115,4.0,Beignet
0.31,9.72,0.69,0.019,0.0,1.0,2.1,13.0,43.8,4.72,2.0,Berries
2.88,8.61,5.47,0.693,12.0,424.0,1.1,31.0,100.29,4.935333333333333,141.0,Bibimbap
14.1,21.53,11.94,5.045,36.0,485.0,1.4,127.0,238.44,6.12,27.0,Big Mac (McDonalds)
1.27,3.03,5.39,0.337,17.0,733.0,0.0,6.0,85.17,5.85375,1.0,Bird's nest soup
2.36,13.57,7.15,0.956,25.0,162.0,1.1,34.0,105.48,4.885,19.0,Biryani with chicken
6.77,12.2,8.5,3.013,29.0,99.0,1.0,33.0,146.91,5.2410000000000005,16.0,Biryani with meat
3.16,17.88,1.93,1.914,8.0,181.0,1.2,17.0,124.3,5.202857142857142,61.0,Biryani with vegetables
12.24,11.08,9.2,1.716,19.0,300.0,1.9,23.0,199.17,5.348,12.0,Biscayne codfish
17.19,43.62833333333333,7.315,10.3775,9.833333333333334,939.5,2.65,100.16666666666667,367.4,7.63,40.5,Biscuit
17.05,46.47,6.7,10.632,2.0,884.0,2.7,69.0,375.9,7.53,16.0,Biscuit with fruit
14.67,17.02,6.17,6.314,16.0,451.0,0.8,80.0,222.32,6.065,73.0,Biscuit with gravy
2.41,0.0,28.32,0.906,82.0,219.0,0.0,8.0,128.1,5.961000000000001,0.0,Bison
2.7199999999999998,5.33,2.1550000000000002,0.743,2.0,131.5,1.85,25.0,92.5,4.7795,72.5,Bitter melon
0.14,21.21,0.04,0.048,0.0,4.0,0.0,0.0,86.9,4.413428571428571,0.0,Black Russian
3.85,12.61,3.08,0.567,0.0,350.0,3.4,20.0,109.78,4.567857142857143,7.0,Black bean salad
8.45,17.36,6.28,1.323,0.0,5843.0,2.6,27.0,194.9,6.335,0.0,Black bean sauce
