nutrient_total_fat,nutrient_total_carb,nutrient_protein,nutrient_sat_fat,nutrient_cholesterol,nutrient_sodium,nutrient_fiber,nutrient_calcium,Calories,Score,nutrient_vitamin_a,Category,cluster
3.55,6.01,6.42,0.7035,1.0,66.5,2.55,34.5,113.13,3.9682,6.0,Bean sprouts,7
2.32,8.89,3.08,0.597,1.0,354.0,3.1,33.0,62.75,4.997999999999999,18.0,Bean with bacon or ham soup,1
3.2350000000000003,16.857,5.479,0.4785999999999999,0.0,170.9,5.49,52.5,131.55,2.164,8.7,Beans,6
4.49,24.17,6.52,0.688,0.0,214.0,4.2,52.0,159.0,2.919,0.0,Beans and brown rice,6
5.22,17.29,6.74,2.076,19.0,438.0,3.3,33.0,137.9,5.525833333333333,1.0,Beans and franks,1
4.896666666666667,23.28333333333333,6.16,0.745,2.0,290.3333333333333,3.9333333333333336,33.666666666666664,152.6,4.464,1.6666666666666667,Beans and rice,6
3.045,18.3,6.21,0.4495,0.0,360.5,6.25,31.5,129.4,3.906999999999999,7.0,Beans and tomatoes,6
4.21,25.19,6.5,0.615,0.0,231.0,3.7,54.0,159.9,3.4,0.0,Beans and white rice,6
6.88,20.56,10.7,1.17,11.0,275.0,7.1,35.0,185.7,4.632,1.0,Beans with meat,6
13.33,0.0,32.28,3.525,98.0,233.0,0.0,5.0,209.44,5.8660000000000005,0.0,Bear,7
6.93,0.0,34.7,2.061,117.0,221.0,0.0,22.0,173.04,5.747000000000001,0.0,Beaver,6
9.67012987012987,7.231558441558442,15.995194805194808,3.348506493506493,49.77922077922078,414.76623376623377,0.6051948051948052,20.49350649350649,182.36,5.505,28.428571428571427,Beef,6
10.65,5.31,10.55,1.945,25.0,439.0,1.4,34.0,189.24,5.625,14.0,Beef and broccoli,6
2.08,7.739999999999999,2.47,0.8516666666666667,8.0,20.33333333333333,1.2,9.0,65.83,4.739,34.333333333333336,Beef and egg noodles,2
5.38,12.31,9.12,2.158,24.0,398.0,0.5,52.0,117.6,5.349,17.0,Beef and macaroni with cheese sauce,6
8.41,16.24,11.37,2.688,48.0,382.0,0.8,16.0,179.66,5.334,20.0,Beef and noodles,6
5.26,15.02,7.85,2.167,34.0,296.0,0.6,43.0,122.57,5.16,42.0,Beef and noodles with cream or white sauce,6
5.07,15.39,7.7,1.215,32.0,304.0,0.7,11.0,122.37,5.02525,4.0,Beef and noodles with gravy,6
4.83,13.16,9.22,2.136,21.0,340.0,1.2,78.0,119.73,5.548333333333334,28.0,Beef and noodles with meat sauce and cheese,6
5.13,14.97,7.54,1.252,29.0,310.0,0.8,23.0,120.0,5.11525,9.0,Beef and noodles with mushroom sauce,6
10.06,7.64,13.18,2.237,35.0,273.0,0.6,16.0,169.23,5.499,2.0,Beef and noodles with soy-based sauce,6
3.92,10.67,8.74,1.529,23.0,274.0,0.4,24.0,110.8,5.266333333333335,8.0,Beef and noodles with tomato-based sauce,6
4.93,14.52,7.92,1.159,20.0,305.0,1.3,8.0,112.2,5.37125,0.0,Beef and potatoes,6
5.6,11.1,8.15,2.798,24.0,316.0,0.9,94.0,121.1,5.2763333333333335,23.0,Beef and potatoes with cheese sauce,6
3.8,8.67,7.73,1.003,17.0,331.0,0.7,32.0,106.0,5.455,12.0,Beef and potatoes with cream sauce,6
5.0,17.23,7.27,1.109,17.0,312.0,0.2,8.0,132.1,5.164,0.0,Beef and rice,6
1.21,6.23,5.83,0.447,15.0,425.0,0.9,14.0,94.85,5.176,20.0,Beef and rice soup,1
5.36,14.64,8.07,2.263,24.0,301.0,0.4,33.0,117.6,5.379,15.0,Beef and rice with cheese sauce,6
5.17,15.89,6.69,2.056,19.0,305.0,0.2,41.0,124.2,5.3870000000000005,38.0,Beef and rice with cream sauce,6
5.12,15.98,6.28,1.141,15.0,315.0,0.2,10.0,121.9,4.917999999999999,0.0,Beef and rice with gravy,6
5.17,15.54,6.25,1.182,13.0,313.0,0.4,21.0,123.5,4.837999999999999,6.0,Beef and rice with mushroom sauce,6
10.27,8.05,13.57,2.292,36.0,275.0,0.5,18.0,165.9,5.2825,3.0,Beef and rice with soy-based sauce,6
5.15,15.88,6.39,1.055,14.0,308.0,0.7,11.0,124.1,4.877999999999999,7.0,Beef and rice with tomato-based sauce,6
1.48,14.13,4.33,0.396,7.0,676.0,1.8,49.0,95.6,5.486428571428571,95.0,Beef and vegetables,1
7.859999999999999,5.34,10.056666666666668,1.772333333333333,27.33333333333333,293.6666666666667,0.9666666666666668,14.666666666666666,142.6,5.75,6.333333333333333,Beef and vegetables excluding carrots,6
7.63,4.096666666666667,10.406666666666666,1.766,28.33333333333333,291.6666666666667,1.2333333333333334,20.666666666666668,140.43,5.795,161.66666666666666,Beef and vegetables including carrots,6
5.37,26.04,16.73,1.763,38.0,410.0,0.8,63.0,201.9,6.444333333333334,2.0,Beef barbecue submarine sandwich,6
13.12,0.0,28.52333333333333,4.889,92.0,390.3333333333333,0.0,6.333333333333333,218.37,5.839,0.0,Beef brisket,6
1.4800000000000002,1.163333333333333,1.4366666666666663,0.2406666666666666,0.0,227.66666666666663,0.1999999999999999,8.333333333333334,35.01,5.465,4.666666666666667,Beef broth,1
5.99,4.06,18.5,1.776,52.0,369.0,0.7,20.0,124.56,5.500333333333336,1.0,Beef burgundy,6
2.61,3.85,10.76,0.748,25.0,253.0,0.8,22.0,93.89,5.460416666666667,10.0,Beef chow mein or chop suey,6
4.89,11.17,10.78,1.481,22.0,328.0,1.5,19.0,116.27,5.318,9.0,Beef chow mein or chop suey with noodles,6
6.53,6.46,7.56,1.801,20.0,359.0,1.4,20.0,141.94,5.635,46.0,Beef curry,6
4.03,15.08,5.61,1.111,12.0,313.0,1.0,16.0,120.0,5.009,28.0,Beef curry with rice,6
8.34,10.94,6.82,4.169,40.0,274.0,1.2,15.0,141.36,6.316666666666666,52.0,Beef dinner,6
1.11,10.08,3.97,0.554,6.0,338.0,0.6,13.0,85.78,5.145,54.0,Beef dumpling soup,1
7.88,4.68,13.89,2.446,185.0,326.0,0.3,35.0,143.91,5.249166666666667,74.0,Beef egg foo yung,6
4.14,16.73,5.04,1.16,7.0,426.0,2.2,35.0,129.2,4.765333333333333,10.0,Beef enchilada,1
4.14,16.73,5.04,1.16,7.0,426.0,2.2,35.0,129.2,4.765333333333333,10.0,Beef enchilada dinner,1
3.78,2.79,13.69,0.923,35.0,223.0,0.4,17.0,110.41,4.126000000000002,5.0,Beef goulash,6
5.1,10.88,12.5,1.069,37.0,164.0,0.7,18.0,116.0,4.704666666666665,5.0,Beef goulash with noodles,6
4.39,7.68,11.46,0.925,27.0,178.0,0.9,17.0,107.4,5.091523809523809,4.0,Beef goulash with potatoes,6
25.6,11.0,33.2,10.85,48.0,1785.0,1.8,20.0,390.9,7.52,0.0,Beef jerky,1
4.93,5.105,27.57,2.7155,385.5,400.0,0.0,6.0,151.1,5.678,8521.0,Beef liver,4
1.6266666666666667,4.796666666666667,5.0,0.5386666666666667,12.666666666666666,361.0,0.5333333333333333,12.0,96.37,4.976384615384615,19.0,Beef noodle soup,1
13.5,17.09,7.99,3.468,16.0,396.0,1.2,11.0,217.28,5.5520000000000005,86.0,Beef pot pie,6
1.11,10.08,3.97,0.554,6.0,338.0,0.6,13.0,85.78,5.145,54.0,Beef rice soup,1
9.04,6.46,20.53,3.373,56.0,349.0,0.7,13.0,171.01,5.442,92.0,Beef rolls,6
19.32,2.82,17.9,3.85,61.0,335.0,0.4,19.0,258.38,5.843,12.0,Beef salad,6
7.33,18.68,11.93,2.236,23.0,404.0,0.6,197.0,185.4,5.415,18.0,Beef sandwich,8
20.05,5.59,18.05666666666667,6.75,60.66666666666666,659.6666666666666,0.0,18.0,275.31,6.2225,15.333333333333334,Beef sausage,6
29.01,3.4,13.78,11.976,65.0,946.0,0.0,136.0,371.84,7.71,41.0,Beef sausage with cheese,6
4.9,5.0,14.7,1.661,41.0,208.0,0.9,14.0,114.6,5.122000000000001,8.0,Beef shish kabob with vegetables,6
5.68,15.6,9.13,2.517,26.0,238.0,1.4,22.0,133.2,5.078,19.0,Beef short ribs,6
6.65,9.14,10.61,2.516,34.0,580.0,0.8,26.0,150.77,5.297000000000001,14.0,Beef sloppy joe,1
10.352777777777778,3.804444444444445,26.829444444444444,3.789722222222222,88.55555555555556,388.3333333333333,0.1777777777777777,23.166666666666668,188.55,6.216,6.777777777777778,Beef steak,6
24.12,3.94,20.92,6.202,62.0,999.0,0.7,17.0,355.0,7.06,0.0,Beef steak with onions,6
6.625,3.77,11.94,2.04625,34.25,328.5,0.825,14.0,146.46,5.53,27.25,Beef stew,6
6.3225,7.649999999999999,11.3075,1.80825,31.25,325.25,0.95,15.0,116.1,5.174,2.75,Beef stew with potatoes,6
2.385,8.47,6.705,0.6285000000000001,16.0,216.0,1.25,14.0,79.22,4.8395,4.0,Beef stew with potatoes and vegetables excluding carrots,6
3.095,8.41,5.725,1.0074999999999998,14.5,252.5,1.2999999999999998,14.5,93.76,5.215,58.0,Beef stew with potatoes and vegetables including carrots,6
14.14,6.73,15.08,3.912,41.0,572.0,2.2,21.0,224.12,5.96,116.0,Beef stew with vegetables excluding potatoes,6
9.6,5.99,9.91,3.333,36.0,454.0,0.7,38.0,174.35,5.71,26.0,Beef stroganoff,6
4.6,9.0,5.1,2.324,21.0,435.0,0.6,20.0,110.73,5.549,84.0,Beef stroganoff soup,1
6.98,8.84,7.66,2.368,30.0,313.0,0.7,29.0,147.04,5.428,19.0,Beef stroganoff with noodles,6
11.32,6.33,12.99,5.26,44.0,472.0,0.9,130.0,188.75,6.205,69.0,Beef taco filling: beef,6
2.23,4.57,7.91,0.742,20.0,336.0,1.2,23.0,98.52,5.354384615384615,30.0,Beef vegetable soup,1
1.16,6.16,3.18,0.407,7.0,326.0,1.2,18.0,46.9,4.938166666666667,115.0,Beef vegetable soup with potato,1
27.37,10.1,19.1,9.552,83.0,182.0,0.4,9.0,330.52,5.6370000000000005,15.0,Beef wellington,7
6.23,11.75,20.86,2.309,61.0,361.0,0.3,14.0,142.43,5.0488333333333335,3.0,Beef with barbecue sauce,6
9.24,2.74,22.49,3.86,69.0,343.0,0.0,41.0,164.48,6.077999999999999,40.0,Beef with cream or white sauce,6
7.05,1.58,21.56,2.568,64.0,360.0,0.0,8.0,164.74,4.863,0.0,Beef with gravy,6
7.52,1.84,21.97,2.687,64.0,355.0,0.1,20.0,167.55,5.025,6.0,Beef with mushroom sauce,6
12.38,3.46,15.86,2.761,43.0,333.0,0.5,19.0,187.1,5.3705,3.0,Beef with soy-based sauce,6
4.37,12.23,6.92,1.238,16.0,278.0,0.6,8.0,113.57,5.395,7.0,Beef with spaetzle or rice,6
8.36,16.01,11.55,1.858,26.0,353.0,0.8,32.0,180.42,5.212999999999999,5.0,Beef with sweet and sour sauce,6
6.36,1.58,21.72,2.391,63.0,363.0,0.4,9.0,146.61,4.793500000000002,6.0,Beef with tomato-based sauce,6
6.95,4.68,10.64,2.63,34.0,292.0,0.8,34.0,148.27,5.513,114.0,Beef with vegetable,6
4.515,7.540000000000001,2.765,1.8435,12.0,32.0,1.8,15.0,115.27,4.989,139.5,Beef with vegetables,4
7.16,6.465,7.76,1.5515,19.5,309.5,1.2,22.0,141.8,5.641,13.5,Beef with vegetables excluding carrots,6
7.065,4.86,8.02,1.557,20.5,303.5,1.4,26.0,141.73,5.6160000000000005,140.0,Beef with vegetables including carrots,6
0.0,1.392,0.404,0.0,0.0,3.8,0.0,4.8,4.43,4.731,0.0,Beer,9
15.43,6.52,6.19,9.224,45.0,303.0,0.3,162.0,215.4,5.52,182.0,Beer cheese soup,6
1.495,4.42,2.25,0.408,1.0,296.0,3.8,119.5,50.49,4.791,320.0,Beet greens,4
0.06,5.91,0.72,0.01,0.0,19.0,1.1,12.0,29.3,2.91694761904762,1.0,Beet juice,7
1.291111111111111,9.013333333333334,1.171111111111111,0.3502222222222222,0.8888888888888888,148.88888888888889,1.9555555555555555,14.88888888888889,61.12,4.992166666666666,6.333333333333333,Beets,6
20.18,53.69,5.46,8.403,27.0,281.0,1.9,90.0,427.13,7.115,4.0,Beignet,7
0.31,9.72,0.69,0.019,0.0,1.0,2.1,13.0,43.8,4.72,2.0,Berries,2
2.88,8.61,5.47,0.693,12.0,424.0,1.1,31.0,100.29,4.935333333333333,141.0,Bibimbap,1
14.1,21.53,11.94,5.045,36.0,485.0,1.4,127.0,238.44,6.12,27.0,Big Mac (McDonalds),6
1.27,3.03,5.39,0.337,17.0,733.0,0.0,6.0,85.17,5.85375,1.0,Bird's nest soup,1
2.36,13.57,7.15,0.956,25.0,162.0,1.1,34.0,105.48,4.885,19.0,Biryani with chicken,6
6.77,12.2,8.5,3.013,29.0,99.0,1.0,33.0,146.91,5.2410000000000005,16.0,Biryani with meat,7
3.16,17.88,1.93,1.914,8.0,181.0,1.2,17.0,124.3,5.202857142857142,61.0,Biryani with vegetables,6
12.24,11.08,9.2,1.716,19.0,300.0,1.9,23.0,199.17,5.348,12.0,Biscayne codfish,6
17.19,43.62833333333333,7.315,10.3775,9.833333333333334,939.5,2.65,100.16666666666669,367.4,7.63,40.5,Biscuit,6
17.05,46.47,6.7,10.632,2.0,884.0,2.7,69.0,375.9,7.53,16.0,Biscuit with fruit,6
